,Personal Data,,,,,,,,Electoral Data,,,,,,,,,,,,,Endorsement Data,,,,,,,,,,,Misc. Stuff
Derrick Van Orden,Male,,,,Pro-Life,"On home page says: ""I have a unique understanding of how precious life is and why it should be protected. We must respect and cherish life."" although kind of vague? not on the about page, or issues page",Meredith,8/9/24,Yes,No,Wisconsin,8/13/24,Representative,3,H0WI03175,52533,99.60%,Won,N/A,N/A,N/A,Yes,5/26/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Purnima Nath,Female,,,,No mention,,Meredith,8/9/24,No,No,Wisconsin,8/13/24,Representative,4,,5348,28.45%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Tim Rogers,Male,Black,,,No mention,,Meredith,8/9/24,No,No,Wisconsin,8/13/24,Representative,4,,13382,71.18%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Scott Fitzgerald,Male,,,,Pro-Life,"""right to life"" ",Meredith,8/9/24,Yes,No,Wisconsin,8/13/24,Representative,5,H0WI05113,100916,99.28%,Won,N/A,N/A,N/A,Yes,5/26/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Glenn Grothman,Male,,,,No mention,no issues page,Meredith,8/10/24,Yes,No,Wisconsin,8/13/24,Representative,6,H4WI06048,75113,99.23%,Won,N/A,N/A,N/A,Yes,7/26/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Tom Tiffany,Male,,,,Pro-Life,,Meredith,8/10/24,Yes,No,Wisconsin,8/13/24,Representative,7,H0WI07101,78503,99.43%,Won,N/A,N/A,N/A,Yes,5/26/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
André Jacque,Male,,,,Pro-Life,"on homepage has endorsement from ""Pro-Life Wisconsin""",Meredith,8/10/24,No,No,Wisconsin,8/13/24,Representative,8,,23186,23.30%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Roger Roth,Male,,,,No mention,no issues page,Meredith,8/10/24,No,No,Wisconsin,8/13/24,Representative,8,,34344,34.51%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Tony Wied,Male,,,,No mention,"has issues, no mention",Meredith,8/10/24,No,No,Wisconsin,8/13/24,Representative,8,,41937,42.13%,Won,N/A,N/A,N/A,Yes,4/22/24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Eric Hovde,Male,,,,No mention,"has issues, no mention",Meredith,8/10/24,No,No,Wisconsin,8/13/24,Senator,N/A,,477197,86.21%,Won,N/A,N/A,N/A,Yes,4/2/24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Rejani Raveendran,Female,,,,Pro-Life,on homepage    ,Meredith,8/10/24,No,No,Wisconsin,8/13/24,Senator,N/A,,34612,6.25%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Charles E. Barman,Male,,,,No mention,,Meredith,8/10/24,No,No,Wisconsin,8/13/24,Senator,N/A,,40990,7.40%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Nancy Dahlstrom,Female,white,,,No mention,,Mary,8/16/24,No,No,Alaska,8/20/24,Representative,1,,21574,41.93%,Made runoff,N/A,N/A,N/A,Yes,6/17/24,N/A,N/A,Yes,N/A,Yes,Yes,Yes,N/A,Yes,
Nick Begich,Male,white,,,No mention,"no separate about page, no mention on homepage or issues page",Mary,8/16/24,No,No,Alaska,8/20/24,Representative,1,,28803,55.98%,Made runoff,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,No,No,No,N/A,No,
"Gerald L. ""Jer"" Heikes",Male,white,,,N/A,no website,Mary,8/16/24,No,No,Alaska,8/20/24,Representative,1,,424,0.82%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,No,No,No,N/A,No,
Matthew H. Salisbury,Male,unknown,,,N/A,no website,Mary,8/16/24,No,No,Alaska,8/20/24,Representative,1,,652,1.27%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,No,No,No,N/A,No,
Aaron Dimmock,Male,white,,,Pro-Life,,Mary,8/16/24,No,Yes,Florida,8/20/24,Representative,1,,26788,27.44%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Matt Gaetz,Male,white,,,No mention,"no issues page, no mention on homepage or about page",Mary,8/16/24,Yes,No,Florida,8/20/24,Representative,1,H6FL01119,70824,72.56%,Won,N/A,N/A,N/A,Yes,5/26/24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Neal Dunn,Male,white,,,Pro-Life,,Mary,8/16/24,Yes,No,Florida,8/20/24,Representative,2,H6FL02208,69113,82.70%,Won,N/A,N/A,N/A,Yes,6/13/24,N/A,N/A,N/A,Yes,Yes,N/A,N/A,N/A,N/A,
Rhonda Woodward,Female,white,,,No mention,,Mary,8/16/24,No,Yes,Florida,8/20/24,Representative,2,,14456,17.30%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,
Kat Cammack,Female,white,,,No mention,"mentions pro-life terms on her ""accomplishments"" page, but doesn't have a traditional issues page",Mary,8/16/24,Yes,No,Florida,8/20/24,Representative,3,H0FL03175,69962,87.12%,Won,N/A,N/A,N/A,Yes,6/13/24,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,
Alec Stevens,Male,unknown,,,No mention,,Mary,8/16/24,No,Yes,Florida,8/20/24,Representative,3,,10340,12.88%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,
Aaron Bean,Male,white,,,No mention,,Mary,8/16/24,Yes,No,Florida,8/20/24,Representative,4,H2FL04211,1,100.00%,Won,N/A,N/A,N/A,Yes,6/17/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Mara H. Macie,Female,white,,,No mention,"website was down, but I was able to access a recent version on the wayback machine. Date reflects the date of capture of that version. (HF: I was able to access the actual site on 8/19/24, and it looks the same as far as I can tell.)",Mary,7/26/24,No,Yes,Florida,8/20/24,Representative,5,,23792,32.85%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
John H. Rutherford,Male,white,,,No mention,,Mary,8/16/24,Yes,No,Florida,8/20/24,Representative,5,H6FL04105,48628,67.15%,Won,N/A,N/A,N/A,Yes,5/26/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
John Grow,Male,white,,,No mention,,Mary,8/16/24,No,Yes,Florida,8/20/24,Representative,6,,14280,17.96%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Michael Waltz,Male,white,,,No mention,"no issues page, no mention on homepage or about page",Mary,8/16/24,Yes,No,Florida,8/20/24,Representative,6,H8FL06148,65234,82.04%,Won,N/A,N/A,N/A,Yes,5/26/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Mike Johnson,Male,white,,,Pro-Life,,Mary,8/16/24,No,Yes,Florida,8/20/24,Representative,7,,10188,19.12%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Cory Lee Mills,Male,white,,,No mention,no issues page,Mary,8/16/24,Yes,No,Florida,8/20/24,Representative,7,H2FL07156,43096,80.88%,Won,N/A,N/A,N/A,Yes,5/26/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Joe Babits,Male,white,,,No mention,no separate about page,Mary,8/16/24,No,No,Florida,8/20/24,Representative,8,,5250,6.14%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,
Mike Haridopolos,Male,white,,,No mention,,Mary,8/16/24,No,No,Florida,8/20/24,Representative,8,,61710,72.12%,Won,N/A,N/A,N/A,Yes,6/17/24,N/A,N/A,N/A,Yes,Yes,N/A,N/A,N/A,N/A,
John Hearton,Male,white,,,No mention,,Mary,8/16/24,No,No,Florida,8/20/24,Representative,8,,18604,21.74%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,
Jose Castillo,Male,hispanic,,,Pro-Life,,Mary,8/16/24,No,No,Florida,8/20/24,Representative,9,,6294,24.67%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Thomas Chalifoux,Male,white,,,No mention,,Mary,8/16/24,No,No,Florida,8/20/24,Representative,9,,12662,49.63%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"John ""Q"" Quinones",Male,hispanic (puerto rican),,,No mention,,Mary,8/16/24,No,No,Florida,8/20/24,Representative,9,,6557,25.70%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Tuan Le,Male,asian ,,,No mention,,Mary,8/16/24,No,No,Florida,8/20/24,Representative,10,,9734,46.54%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Willie J. Montague,Male,black,,,Pro-Life,,Mary,8/16/24,No,No,Florida,8/20/24,Representative,10,,11183,53.46%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
John McCloy,Male,white,,,Pro-Life,,Mary,8/16/24,No,Yes,Florida,8/20/24,Representative,11,,16567,23.01%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Daniel Webster,Male,white,,,Pro-Life,"""Life begins at conception and the protection of life ought to begin at conception as well.""",Mary,8/16/24,Yes,No,Florida,8/20/24,Representative,11,H0FL08208,55443,76.99%,Won,N/A,N/A,N/A,Yes,12/1/23,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Gus Michael Bilirakis,Male,white (greek),,,Pro-Life,,Mary,8/16/24,Yes,No,Florida,8/20/24,Representative,12,H6FL09070,59946,84.28%,Won,N/A,N/A,N/A,Yes,3/27/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Hank Dunlap,Male,white,,,Other,"""Defining what constitutes life with an amendment ensures clarity in ethical and legal considerations surrounding issues such as abortion...""",Mary,8/16/24,No,Yes,Florida,8/20/24,Representative,12,,11182,15.72%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Anna Paulina Luna,Female,hispanic (mexican),white (german),"*""small fraction ashkenazi jewish""",Other,"""Anna's father... had asked her mother to have an abortion.  But Anna's mother chose life.""",Mary,8/16/24,Yes,No,Florida,8/20/24,Representative,13,H0FL13158,1,100.00%,Won,N/A,N/A,N/A,Yes,5/26/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Ehsan Joarder,Male,middle eastern?,,,No mention,,Mary,8/16/24,No,No,Florida,8/20/24,Representative,14,,3837,13.33%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Neelam Taneja Perry,Female,asian (indian),,,Other,"On 8/16/24, no issues or about pages, no mention on homepage. However, as of 8/19/24: ""Dr. Perry is pro-life, but there has to be balance between pro-life and pro-choice for the economic, social and emotional protections of the unborn child and the mother and society. Medical Termination of Pregnancy (MTP) is a separate medical condition and should be classified separately legally too.""",Mary,8/19/24,No,No,Florida,8/20/24,Representative,14,,1594,5.54%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
John Peters,Male,white,,,No mention,,Mary,8/16/24,No,No,Florida,8/20/24,Representative,14,,7771,27.00%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"Robert ""Rocky"" Rochford",Male,white,,,No mention,,Mary,8/16/24,No,No,Florida,8/20/24,Representative,14,,15575,54.12%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Laurel Lee,Female,white,,,Pro-Life,,Mary,8/16/24,Yes,No,Florida,8/20/24,Representative,15,H2FL15241,28571,72.30%,Won,N/A,N/A,N/A,Yes,6/13/24,N/A,N/A,N/A,Yes,N/A,N/A,Yes,Yes,N/A,
Jennifer Barbosa,Female,white,,,No mention,No separate issues or about pages. No mention on homepage,Mary,8/16/24,No,Yes,Florida,8/20/24,Representative,15,,3809,9.64%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,No,No,N/A,
James Judge,Male,white,,,Pro-Life,,Mary,8/16/24,No,Yes,Florida,8/20/24,Representative,15,,7137,18.06%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,No,No,N/A,
Vern Buchanan,Male,white,,,No mention,"has some issues on home page, doesnt mention there or in about ",Meredith,8/19/24,Yes,No,Florida,8/20/24,Representative,16,H6FL13148,38789,60.93%,Won,N/A,N/A,N/A,Yes,5/26/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Eddie Speir,Male,white,,,No mention,,Meredith,8/19/24,No,Yes,Florida,8/20/24,Representative,16,,24868,39.07%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Greg Steube,Male,white,,,No mention,no issues page,Meredith,8/19/24,Yes,No,Florida,8/20/24,Representative,17,H8FL17053,1,100.00%,Won,N/A,N/A,N/A,Yes,5/26/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Scott Franklin,Male,white,,,Pro-Life,,Meredith,8/19/24,Yes,No,Florida,8/20/24,Representative,18,H0FL15104,1,100.00%,Won,N/A,N/A,N/A,Yes,5/26/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Byron Donalds,Male,black,,,Pro-Life,,Meredith,8/19/24,Yes,No,Florida,8/20/24,Representative,19,H2FL14186,1,100.00%,Won,N/A,N/A,N/A,Yes,5/26/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Brian Mast,Male,white,,,Pro-Life,,Meredith,8/19/24,Yes,No,Florida,8/20/24,Representative,21,H6FL18097,60395,85.85%,Won,N/A,N/A,N/A,Yes,5/26/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Rick Wiles,Male,white,,,No mention,"has issues, doesnt mention this one",Meredith,8/19/24,No,Yes,Florida,8/20/24,Representative,21,,9957,14.15%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Deborah Adeimy,Female,white,,,No mention,,Meredith,8/19/24,No,No,Florida,8/20/24,Representative,22,,7038,22.17%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Dan Franzese,Male,white,,,No mention,,Meredith,8/19/24,No,No,Florida,8/20/24,Representative,22,,16666,52.51%,Won,N/A,N/A,N/A,Yes,8/5/24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Andrew Gutmann,Male,white,,,Other,"""I personally believe the Supreme Court was correct in its decision in Dobbs v. Jackson Women’s Health Organization to return the issue of abortion to the states, and to the democratic process.""",Meredith,8/19/24,No,No,Florida,8/20/24,Representative,22,,8036,25.32%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Gary Barve,Male,asian (indian),,,No mention,,Meredith,8/19/24,No,No,Florida,8/20/24,Representative,23,,1923,7.17%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Darlene Cerezo Swaffar,Female,hispanic,,,No mention,,Meredith,8/19/24,No,No,Florida,8/20/24,Representative,23,,5118,19.07%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"Joseph ""Joe"" Kaufman",Male,white,,,No mention,,Meredith,8/19/24,No,No,Florida,8/20/24,Representative,23,,9503,35.41%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Carla Spalding,Female,black,,,No mention,,Meredith,8/19/24,No,No,Florida,8/20/24,Representative,23,,2844,10.60%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Joe Thelusca,Male,black,,,No mention,no issues page,Meredith,8/19/24,No,No,Florida,8/20/24,Representative,23,,1923,7.17%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Robert S. Weinroth,Male,white,,,Other,"says ""all life is precious"" under ""family values"" issues",Meredith,8/19/24,No,No,Florida,8/20/24,Representative,23,,5524,20.59%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"Patricia ""Patti"" Gonzalez",Female,hispanic,,,No mention,,Meredith,8/19/24,No,No,Florida,8/20/24,Representative,24,,4371,43.17%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jesus Gabriel Navarro,Male,Hispanic (Cuban),,,No mention,,Meredith,8/19/24,No,No,Florida,8/20/24,Representative,24,,5755,56.83%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Chris Eddy,Male,white,,,No mention,,Meredith,8/19/24,No,No,Florida,8/20/24,Representative,25,,13246,64.95%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bryan E. Leib,Male,white,,,No mention,,Meredith,8/19/24,No,No,Florida,8/20/24,Representative,25,,7149,35.05%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mario Diaz-Balart,Male,hispanic (cuban),,,No mention,no issues on page,Meredith,8/19/24,Yes,No,Florida,8/20/24,Representative,26,H2FL25018,38334,83.53%,Won,N/A,N/A,N/A,Yes,5/26/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Richard Evans,Male,white,,,No mention,"says ""protect the life, liberty and pursuit of happiness.."" etc but this is not ""protect life"" in meaning we mean, IMO, for abortion. Has ""agenda,"" but the page is blank",Meredith,8/19/24,No,Yes,Florida,8/20/24,Representative,26,,3178,6.93%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Johnny Fratto,Male,white,,,No mention,,Meredith,8/19/24,No,Yes,Florida,8/20/24,Representative,26,,4378,9.54%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Maria Elvira Salazar,Female,hispanic (cuban and puerto rican),,,No mention,,Meredith,8/19/24,Yes,No,Florida,8/20/24,Representative,27,H8FL27185,38493,88.69%,Won,N/A,N/A,N/A,Yes,5/26/24,N/A,N/A,N/A,Yes,N/A,N/A,Yes,Yes,Yes,
Royland Lara,Male,hispanic (cuban),,,No mention,,Meredith,8/19/24,No,Yes,Florida,8/20/24,Representative,27,,4908,11.31%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,No,No,No,
Carlos A. Gimenez,Male,hispanic,,,No mention,"he's got a list of issues with check boxes, but its to submit a form about what the visitor cares about. He himself doesnt have issues on the site. ",Meredith,8/19/24,Yes,No,Florida,8/20/24,Representative,28,H0FL26036,1,100.00%,Won,N/A,N/A,N/A,Yes,5/26/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
John S. Columbus,Male,white,,,Other,"""Personally, I am pro-life, but that does not make me anti-choice. I recognize the spectrum of situations that can occur during pregnancy, and do not believe a binary “Yea” or “Nay” will solve this question that’s been asked since the beginning of human existence.""",Meredith,8/19/24,No,Yes,Florida,8/20/24,Senator,N/A,,95342,6.27%,Lost,N/A,N/A,N/A,No,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Keith Gross,Male,white,,,No mention,,Meredith,8/19/24,No,Yes,Florida,8/20/24,Senator,N/A,,142392,9.36%,Lost,N/A,N/A,N/A,No,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Rick Scott,Male,white,,,Pro-Life,"""Abortion kills human children. To deny that is to deny science""",Meredith,8/19/24,Yes,No,Florida,8/20/24,Senator,N/A,S8FL00273,1283904,84.38%,Won,N/A,N/A,N/A,Yes,12/5/23,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Harriet Hageman,Female,white,,,No mention,,Meredith,8/19/24,Yes,No,Wyoming,8/20/24,Representative,1,H2WY00166,82783,78.88%,Won,N/A,N/A,N/A,Yes,5/26/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,N/A,
Steven R. Helling,Male,white,,,N/A,no website,Meredith,8/19/24,No,Yes,Wyoming,8/20/24,Representative,1,,19743,18.81%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,
John Barrasso,Male,white,,,No mention,no issues,Meredith,8/19/24,Yes,No,Wyoming,8/20/24,Senator,N/A,S6WY00068,70494,66.79%,Won,N/A,N/A,N/A,Yes,5/26/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
John Holtz,Male,white,,,N/A,no website,Meredith,8/19/24,No,Yes,Wyoming,8/20/24,Senator,N/A,,7868,7.45%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Reid Rasner,Male,white,,,Pro-Life,,Meredith,8/19/24,No,Yes,Wyoming,8/20/24,Senator,N/A,,25427,24.09%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Robert G. Burke,Male,,,,No mention,,Mary,8/29/24,No,No,Massachusetts,9/3/24,Representative,8,,10335,46.06%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
James M. Govatsos,Male,,,,No mention,no issues or about pages,Mary,8/29/24,No,No,Massachusetts,9/3/24,Representative,8,,6216,27.70%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Daniel Kelly,Male,,,,N/A,no website,Mary,8/29/24,No,No,Massachusetts,9/3/24,Representative,8,,5761,25.67%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Dan Sullivan,Male,,,,No mention,,Mary,8/29/24,No,No,Massachusetts,9/3/24,Representative,9,,36888,98.53%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Robert J. Antonellis,Male,,,,No mention,,Mary,8/29/24,No,No,Massachusetts,9/3/24,Senator,N/A,,54940,25.91%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ian Cain,Male,,,,No mention,,Mary,8/29/24,No,No,Massachusetts,9/3/24,Senator,N/A,,19374,9.14%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
John Deaton,Male,,,,No mention,,Mary,8/29/24,No,No,Massachusetts,9/3/24,Senator,N/A,,136773,64.51%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Donyale Hall,Female,,,,No mention,no separate issues/about pages,Mary,9/4/24,No,No,Delaware,9/10/24,Representative,1,,15752,44.21%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
John J. Whalen III,Male,,,,No mention,no separate issues/about pages,Mary,9/4/24,No,No,Delaware,9/10/24,Representative,1,,19880,55.79%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
Jerrold A. Price,Male,,,,Other,"in response to a comment asked on his page about taxpayer funding for abortions: ""That is a family issue. Not a tax payer issue""",Mary,9/4/24,No,No,Delaware,9/10/24,Governor,N/A,,5971,16.34%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mike Ramone,Male,,,,No mention,,Mary,9/4/24,No,No,Delaware,9/10/24,Governor,N/A,,26414,72.29%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bobby Williamson,Male,,,,No mention,,Mary,9/4/24,No,No,Delaware,9/10/24,Governor,N/A,,4153,11.37%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Eric Hansen,Male,,,,Other,"""I oppose a national abortion ban and will not support any federal law that overrides Delaware law.""",Mary,9/4/24,No,No,Delaware,9/10/24,Senator,N/A,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Max Abramson,Male,,,,No mention,"has issues page, doesn't mention ",Meredith,9/7/24,No,No,New Hampshire,9/10/24,Representative,1,,2180,3.25%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Chris Bright,Male,,,,Other,"""I believe that under the Constitution, this matter is left to the states to decide.""",Meredith,9/7/24,No,No,New Hampshire,9/10/24,Representative,1,,8733,13.03%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Joseph Kelly Levasseur,Male,,,,No mention,,Meredith,9/7/24,No,No,New Hampshire,9/10/24,Representative,1,,15418,23.00%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Andy Martin,Male,,,,N/A,"Has a personal website, but it doesn't seem to be a campaign pitch",Meredith,9/7/24,No,No,New Hampshire,9/10/24,Representative,1,,1563,2.33%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Walter J. McFarlane III,Male,,,,Other,"""I do not believe that the government has a role in this discussion before the point of viability""",Meredith,9/7/24,No,No,New Hampshire,9/10/24,Representative,1,,5421,8.09%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Hollie Noveletsky,Female,,,,No mention,,Meredith,9/7/24,No,No,New Hampshire,9/10/24,Representative,1,,15896,23.71%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
